make,model,price,mpg,rep78,rep77,hdroom,rseat,trunk,weight,length,turn,displ,gratio,order,foreign,wgtd,wgtf
Fiat,Strada,4296,21,Average,Poor,2.5,26.5,16,2130,161,36,105,3.3699999,31,Foreign,,2130
Ford,Fiesta,4389,28,Good,,1.5,26,9,1800,147,33,98,3.1500001,32,Domestic,1800,
Ford,Mustang,4187,21,Average,Average,2,23,10,2650,179,43,140,3.0799999,33,Domestic,2650,
Honda,Accord,5799,25,Excellent,Excellent,3,25.5,10,2240,172,36,107,3.05,34,Foreign,,2240
Honda,Civic,4499,28,Good,Good,2.5,23.5,5,1760,149,34,91,3.3,35,Foreign,,1760
Linc.,Cntntl,11497,12,Average,Good,3.5,30.5,22,4840,233,51,400,2.47,36,Domestic,4840,
Linc.,Mark V,13594,12,Average,Good,2.5,28.5,18,4720,230,48,400,2.47,37,Domestic,4720,
Linc.,Vrsills,13466,14,Average,Average,3.5,27,15,3830,201,41,302,2.47,38,Domestic,3830,
Mazda,GLC,3995,30,Good,Good,3.5,25.5,11,1980,154,33,86,3.73,39,Foreign,,1980
Merc.,Bobcat,3829,22,Good,Average,3,25.5,9,2580,169,39,140,2.73,40,Domestic,2580,
Merc.,Cougar,5379,14,Good,Average,3.5,29.5,16,4060,221,48,302,2.75,41,Domestic,4060,
Merc.,XR-7,6303,14,Good,Good,3,25,16,4130,217,45,302,2.75,42,Domestic,4130,
Merc.,Marquis,6165,15,Average,Fair,3.5,30.5,23,3720,212,44,302,2.26,43,Domestic,3720,
Merc.,Monarch,4516,18,Average,,3,27,15,3370,198,41,250,2.4300001,44,Domestic,3370,
Merc.,Zephyr,3291,20,Average,Average,3.5,29,17,2830,195,43,140,3.0799999,45,Domestic,2830,
Olds,Cutlass,4733,19,Average,Average,4.5,28,16,3300,198,42,231,2.9300001,47,Domestic,3300,
Olds,CutlSupr,5172,19,Average,Good,2,28,16,3310,198,42,231,2.9300001,48,Domestic,3310,
Olds,Delta 88,4890,18,Good,Good,4,29,20,3690,218,42,231,2.73,49,Domestic,3690,
Olds,Omega,4181,19,Average,Average,4.5,27,14,3370,200,43,231,3.0799999,50,Domestic,3370,
Olds,Starfire,4195,24,Poor,Poor,2,25.5,10,2730,180,40,151,2.73,51,Domestic,2730,
Olds,Toronado,10371,16,Average,Average,3.5,30,17,4030,206,43,350,2.4100001,52,Domestic,4030,
Olds,98,8814,21,Good,Good,4,31.5,20,4060,220,43,350,2.4100001,46,Domestic,4060,
Peugeot,604,12990,14,,,3.5,30.5,14,3420,192,38,163,3.5799999,53,Foreign,,3420
Plym.,Arrow,4647,38,Average,Average,2,21.5,11,3260,170,37,156,3.05,54,Domestic,3260,
Plym.,Champ,4425,34,Excellent,Good,2.5,23,11,1800,157,37,86,2.97,55,Domestic,1800,
Plym.,Horizon,4482,25,Average,,4,25,17,2200,165,36,105,3.3699999,56,Domestic,2200,
Plym.,Sapporo,6486,26,,,1.5,22,8,2520,182,38,119,3.54,57,Domestic,2520,
Plym.,Volare,4060,18,Fair,Fair,5,31,16,3330,201,44,225,3.23,58,Domestic,3330,
Pont.,Catalina,5798,18,Good,Good,4,29,20,3700,214,42,231,2.73,59,Domestic,3700,
Pont.,Firebird,4934,18,Poor,Fair,1.5,23.5,7,3470,198,42,231,3.0799999,60,Domestic,3470,
Pont.,GranPrix,5222,19,Average,Average,2,28.5,16,3210,201,45,231,2.9300001,61,Domestic,3210,
Pont.,Le Mans,4723,19,Average,Average,3.5,28,17,3200,199,40,231,2.9300001,62,Domestic,3200,
Pont.,Phoenix,4424,19,,,3.5,27,13,3420,203,43,231,3.0799999,63,Domestic,3420,
Pont.,Sunbird,4172,24,Fair,Fair,2,25,7,2690,179,41,151,2.73,64,Domestic,2690,
Renault,Le Car,3895,26,Average,Average,3,23,10,1830,142,34,79,3.72,65,Foreign,,1830
Subaru,Subaru,3798,35,Excellent,Good,2.5,25.5,11,2050,164,36,97,3.8099999,66,Foreign,,2050
Toyota,Celica,5899,18,Excellent,Excellent,2.5,22,14,2410,174,36,134,3.0599999,67,Foreign,,2410
Toyota,Corolla,3748,31,Excellent,Excellent,3,24.5,9,2200,165,35,97,3.21,68,Foreign,,2200
Toyota,Corona,5719,18,Excellent,Excellent,2,23,11,2670,175,36,134,3.05,69,Foreign,,2670
VW,Rabbit,4697,25,Good,Average,3,25.5,15,1930,155,35,89,3.78,70,Foreign,,1930
VW,Diesel,5397,41,Excellent,Good,3,25.5,15,2040,155,35,90,3.78,71,Foreign,,2040
VW,Scirocco,6850,25,Good,Average,2,23.5,16,1990,156,36,97,3.78,72,Foreign,,1990
VW,Dasher,7140,23,Good,Average,2.5,37.5,12,2160,172,36,97,3.74,73,Foreign,,2160
Volvo,260,11995,17,Excellent,Average,2.5,29.5,14,3170,193,37,163,2.98,74,Foreign,,3170
